id,phase,institution,folder,filename,url,year,doc_type,category,verification,priority,impact_areas,summary,oc_use
63,1,UVic,03_UVic/01_Plans-and-Strategies,2019_UVic_2019-SAP-Final-Report.pdf,https://www.uvic.ca/sustainability/assets/docs/reports/2019.11.29_sap-close-out-report-final.pdf,2019,Report,Plans-and-Strategies,Seen in search,,Performance Measurement,Close-out of the 2014-2019 SAP.,Second-generation close-out template.
64,1,UVic,03_UVic/01_Plans-and-Strategies,2016_UVic_2016-SAP-Progress-Report-Full.pdf,https://www.uvic.ca/sustainability/assets/docs/reports/2016.Progress.Report.pdf,2016,Report,Plans-and-Strategies,Seen in search,,Performance Measurement,Mid-cycle progress report.,"A mid-cycle checkpoint, not just a close-out."
65,1,UVic,03_UVic/02_Climate-and-GHG-Reporting,2025_UVic_Climate-Change-Accountability-Report-CCAR-2025.pdf,https://www.uvic.ca/sustainability/assets/docs/reports/ccar25.pdf,2025,Statutory report,Climate-and-GHG-Reporting,Seen in search,,Carbon Zero; Performance Measurement,Newest BC public-sector climate accountability filing.,Current BC PSO template OC is required to match.
66,1,UVic,03_UVic/02_Climate-and-GHG-Reporting,2024_UVic_Climate-Change-Accountability-Report-CCAR-2024.pdf,https://www.uvic.ca/sustainability/assets/docs/ccar24.pdf,2024,Statutory report,Climate-and-GHG-Reporting,Seen in search,,Carbon Zero,"Annual GHG inventory, offsets and actions under the Climate Change Accountability Act.",Directly comparable BC PSO peer report for benchmarking OC's figures.
67,1,UVic,03_UVic/02_Climate-and-GHG-Reporting,2023_UVic_Climate-Change-Accountability-Report-CCAR-2023.pdf,https://www.uvic.ca/sustainability/assets/docs/cnar23.pdf,2023,Statutory report,Climate-and-GHG-Reporting,Fetched,,Carbon Zero,"Reports 10,302 tCO2e operational emissions for FY2022/23 plus offsets purchased.",Concrete tonnage to benchmark OC's per-FTE and per-sq-ft intensity against.
68,1,UVic,03_UVic/04_Transportation,2023_UVic_Campus-Traffic-Survey-2023-Final-Report.pdf,https://www.uvic.ca/campusplanning/assets/blocks/content/accordions/20240403_uvictrafficsurvey_2023report_final1.pdf,2023,Survey,Transportation,Fetched,PRIORITY,Transportation,"46% drive-alone, 26% transit, 7% cycling, 14% walking, 54% sustainable mode share. Method combines Miovision counts, ATRs, video occupancy counts and BC Transit APC data.",A validated multi-source mode-share methodology and a trend table format OC could replicate across four campuses.
69,1,UVic,03_UVic/04_Transportation,2021_UVic_Campus-Traffic-Survey-2021.pdf,https://www.uvic.ca/campusplanning/assets/blocks/content/accordions/20220408_uvictrafficsurvey_2021_report_final.pdf,2021,Survey,Transportation,Seen in search,,Transportation,"Prior cycle: 45% drive-alone, 22% transit.",Trend comparator confirming a biennial cadence is workable.
70,1,UVic,03_UVic/04_Transportation,2019_UVic_Campus-Cycling-Plan.pdf,https://www.uvic.ca/campusplanning/assets/docs/campus-cycling-plan-docs/campus-cycling-plan.pdf,~2019,Plan,Transportation,Fetched,,Transportation; Infrastructure,"Award-winning (CIP Award for Planning Excellence) plan covering bike parking, network and end-of-trip facilities.","Template structure for an OC multi-campus cycling and end-of-trip plan, which OC has not yet scoped."
71,1,UVic,03_UVic/10_Campus-Master-Plans,2016_UVic_Campus-Plan-2016.pdf,https://www.uvic.ca/campusplanning/assets/docs/CampusPlan2016.pdf,2016,Master plan,Campus-Master-Plans,Fetched,,Infrastructure; Policy/Planning,"Board-approved land-use master plan built on 1,650+ consultations, with 4 goals.",Consultation-scale benchmark and a 4-goal master-plan structure to cross-reference against OC's Capital Master Plan.
72,1,UVic,03_UVic/06_Waste-and-Procurement,2020_UVic_UVic-Supplier-Code-of-Conduct.pdf,https://www.uvic.ca/purchasing/assets/docs/uvicsuppliercodeofconduct.pdf,~2020,Policy,Waste-and-Procurement,Fetched,PRIORITY,Supply Chain,"Minimum environmental, labour and ethics standards for suppliers and subcontractors, referencing ILO declarations and the UN SDGs, with a termination clause for non-compliance.",Ready clause structure and international-standard references to adapt into an OC supplier code.
73,1,UVic,03_UVic/06_Waste-and-Procurement,nd_UVic_UVic-Sustainable-Procurement-Initiatives-Scholars-report.pdf,https://www.uvic.ca/graduatestudies/_assets/docs/sustainability-scholars/ssp-uvic-sustainable-procurement-initiatives-developing-an-implementation-strategy-for-supplier-code-of-conduct-and-ecovadis-supplier-sustainability-assessments-uvic-purchasing.pdf,n.d.,Applied research,Waste-and-Procurement,Seen in search,,Applied Research; Supply Chain,Student research project that built the implementation strategy for the Code of Conduct and EcoVadis rollout.,"Using a paid student placement to co-develop an operational tool. Cheap, curriculum-linked delivery OC could copy."
74,1,UVic,03_UVic/08_Governance-and-Policy,2021_UVic_UVic-Foundation-Responsible-Investment-Policy.pdf,https://www.uvic.ca/uvic-foundation/assets/docs/responsible_investment_policy.pdf,2021,Policy,Governance-and-Policy,Fetched,PRIORITY,Investment,"Engagement-over-exclusion approach. Commits to measuring portfolio carbon intensity and cutting it 45% by 2030, with quarterly Board reporting.",Quotable policy language plus a specific portfolio carbon-intensity KPI for OC's Investment impact area.
75,1,UVic,03_UVic/08_Governance-and-Policy,2018_UVic_Sustainability-Advisory-Committee-Terms-of-Reference.pdf,https://www.uvic.ca/campusplanning/about/committees/sustainabilityadvisorycommittee/sac-terms-of-reference-18.pdf,2018,Governance,Governance-and-Policy,Fetched,PRIORITY,Organizational Structure,"Formal ToR: mandate, membership, reporting lines.",A ToR template OC can adapt almost verbatim for its standing implementation committee.
76,1,UVic,03_UVic/07_Curriculum-and-Research,2021_UVic_Sustainability-Course-Inventory-2021-2022.pdf,https://www.uvic.ca/sustainability/assets/docs/2021-2022courseinv.pdf,2021,Dataset,Curriculum-and-Research,Seen in search,PRIORITY,Curriculum,Full listing of sustainability-themed courses. 92% of academic departments offered one that year.,Course-tagging method plus a headline KPI (% of departments offering a sustainability course) OC could adopt verbatim.
77,1,UVic,03_UVic/06_Waste-and-Procurement,2022_UVic_2022-Waste-Audit.pdf,https://www.uvic.ca/sustainability/assets/docs/2022wasteaudit.pdf,2022,Audit,Waste-and-Procurement,Seen in search,,Supply Chain,Waste composition audit feeding the 2023 STARS submission. ~80% daily diversion at Gordon Head.,Audit methodology plus a diversion-rate KPI to benchmark OC's campuses against.
78,1,UVic,03_UVic/06_Waste-and-Procurement,2021_UVic_2021-Default-Veg-Report.pdf,https://www.uvic.ca/sustainability/assets/docs/default-veg_report_2021.pdf,2021,Report,Waste-and-Procurement,Seen in search,,Supply Chain; Carbon Zero,Measures GHG reductions from making plant-based options the default in food service.,A low-CAPEX choice-architecture lever with a measurable emissions KPI.
79,1,UVic,03_UVic/10_Campus-Master-Plans,2011_UVic_Integrated-Energy-Master-Plan.pdf,https://www.uvic.ca/sustainability/assets/docs/policy/uvic-integrated-energy-plan.pdf,2011,Plan,Campus-Master-Plans,Seen in search,,Infrastructure (Energy),Identifies energy-efficiency and district-energy opportunities. Still cited on UVic's current energy page in 2026.,Evidence that a well-built energy master plan stays useful for 15 years. Useful in CAPEX conversations with Facilities.
80,1,UVic,03_UVic/01_Plans-and-Strategies,2023_UVic_Real-Estate-Strategy-2023.pdf,https://www.uvic.ca/_assets/docs/reports/116176-budg_uvic-district-real-estate-plan_v4.pdf,2023,Strategy,Plans-and-Strategies,Seen in search,,Infrastructure; Investment,District and real-estate development strategy tied to campus planning.,How to link land strategy to a sustainability master plan.
81,1,UVic,03_UVic/03_STARS,2017_UVic_UVic-STARS-Report-2017-self-hosted-copy.pdf,https://www.uvic.ca/sustainability/assets/docs/uvic-STARS-2017.pdf,2017,STARS,STARS,Seen in search,,Performance Measurement,Earlier full STARS submission hosted on UVic's own site rather than only on AASHE.,"Self-hosting a STARS submission is a transparency practice OC could copy, since AASHE credit pages are login-walled."
82,1,SFU,04_SFU/01_Plans-and-Strategies,2022_SFU_Strategic-Sustainability-and-Climate-Action-Plan-2022-2025.pdf,https://www.sfu.ca/content/dam/sfu/sustainability/Reports/SFUS_SFU2025-2023_V1-Nov2022.pdf,2022,Plan,Plans-and-Strategies,Seen in search,,Policy/Planning; Organizational Structure,Predecessor plan organizing action around each VP portfolio to drive systems change.,Portfolio-based (not just topic-based) action planning. A second axis OC could map alongside its 4 focus areas.
83,1,SFU,04_SFU/01_Plans-and-Strategies,2020_SFU_SFU-2020-2025-Sustainability-Plan.pdf,https://www.sfu.ca/content/dam/sfu/sustainability/Reports/SFU%20Sustainability%20Plan%202025_v1.0_date02282020_digital.pdf,2020,Plan,Plans-and-Strategies,Seen in search,,Policy/Planning,Full 5-year plan document.,Direct comparator for a 5-6 year horizon plan format.
84,1,SFU,04_SFU/01_Plans-and-Strategies,2020_SFU_5-Year-Plan-Summer-2020-Progress-Report.pdf,https://www.sfu.ca/content/dam/sfu/sustainability/Reports/5YP_Summer2020Report_09212020FINAL.pdf,2020,Report,Plans-and-Strategies,Seen in search,,Performance Measurement,Quarterly-style progress report.,Lightweight interim tracking format versus a full annual report.
85,1,SFU,04_SFU/01_Plans-and-Strategies,2020_SFU_5-Year-Plan-Spring-2020-Quarterly-Report.pdf,https://www.sfu.ca/content/dam/sfu/sustainability/Reports/5YP_QuarterlyReport_Spring2020_05.22.2020.pdf,2020,Report,Plans-and-Strategies,Seen in search,,Performance Measurement,Earlier quarterly report in the same cadence.,Repeatable quarterly template.
86,1,SFU,04_SFU/01_Plans-and-Strategies,2020_SFU_2020-Annual-Sustainability-Report.pdf,https://www.sfu.ca/content/dam/sfu/sustainability/Reports/annual_sustainability_report_2020.pdf,2020,Report,Plans-and-Strategies,Seen in search,,Communications,Annual report format predating the biennial cadence.,Annual-report layout and voice for public comms.
87,1,SFU,04_SFU/01_Plans-and-Strategies,2022_SFU_2020-2022-Annual-Sustainability-Report.pdf,https://www.sfu.ca/content/dam/sfu/sustainability/About/Publications/ASR_2020_2022.pdf,2022,Report,Plans-and-Strategies,Seen in search,,Communications; Performance Measurement,Two-year combined report.,How to consolidate two cycles into one report when priorities shift.
88,1,SFU,04_SFU/02_Climate-and-GHG-Reporting,2022_SFU_SFU-Greenhouse-Gas-Inventory-2019-2022.pdf,https://www.sfu.ca/content/dam/sfu/sustainability/About/Publications/GHG_inventory_2019-2022.pdf,2022,Dataset,Climate-and-GHG-Reporting,Seen in search,,Carbon Zero; Infrastructure,Multi-year Scope 1/2/3 GHG inventory.,GHG Protocol-aligned inventory structure for a multi-campus institution.
89,1,SFU,04_SFU/11_Climate-Risk-and-Resilience,2021_SFU_SFU-Climate-Change-Risk-Assessment-Report.pdf,https://www.sfu.ca/content/dam/sfu/sustainability/Reports/2021_SFUClimateRiskAssessmentReport.pdf,2021,Assessment,Climate-Risk-and-Resilience,Seen in search,PRIORITY,Climate Resilience,Formal climate risk and vulnerability assessment.,Methodology template for OC's four campuses in different micro-climates. Serves target T4.
90,1,SFU,04_SFU/02_Climate-and-GHG-Reporting,2025_SFU_Climate-Change-Accountability-Report-2025.pdf,https://www.sfu.ca/content/dam/sfu/fs/files/SustainableInitiatives/2025_SFU_CCAR.pdf,2025,Statutory report,Climate-and-GHG-Reporting,Seen in search,,Carbon Zero; Performance Measurement,Latest in an unbroken annual BC-mandated filing series.,The BC PSO template OC must also follow.
91,1,SFU,04_SFU/02_Climate-and-GHG-Reporting,2024_SFU_Climate-Change-Accountability-Report-2024.pdf,https://www.sfu.ca/content/dam/sfu/fs/files/SustainableInitiatives/2024_SFU_CCAR.pdf,2024,Statutory report,Climate-and-GHG-Reporting,Seen in search,,Carbon Zero,Same series.,Year-over-year comparator for OC's own filings.
92,1,SFU,04_SFU/02_Climate-and-GHG-Reporting,2023_SFU_Climate-Change-Accountability-Report-2023.pdf,https://www.sfu.ca/content/dam/sfu/fs/files/SustainableInitiatives/CCAR%202023%20-%20SFU.pdf,2023,Statutory report,Climate-and-GHG-Reporting,Seen in search,,Carbon Zero,Same series.,Comparator.
93,1,SFU,04_SFU/02_Climate-and-GHG-Reporting,2022_SFU_Climate-Change-Accountability-Report-2022.pdf,https://www.sfu.ca/content/dam/sfu/fs/files/SustainableInitiatives/2022%20Climate%20Change%20Accountability%20Report.pdf,2022,Statutory report,Climate-and-GHG-Reporting,Seen in search,,Carbon Zero,"Same series, when the name changed from CNAR to CCAR.",Comparator.
94,1,SFU,04_SFU/01_Plans-and-Strategies,2017_SFU_SFU-20-Year-Sustainability-Vision-and-Goals.pdf,https://hub.aashe.org/media/SFU%2020-Year%20Sustainability%20Vision%20and%20Goals%20(Feb%2028).pdf,2017,Vision,Plans-and-Strategies,Fetched,PRIORITY,Policy/Planning; Communications,"Long-horizon vision built from 4,000+ community members via IAP2 engagement. 5 themes and 20 goals.","How to pair a 6-year plan with a longer vision, plus the IAP2 engagement methodology."
95,1,SFU,04_SFU/01_Plans-and-Strategies,2016_SFU_SFU-Community-Conversations-Booklet.pdf,https://hub.aashe.org/media/SFU2021%20Community%20Conversations%20booklet.pdf,~2016,Toolkit,Plans-and-Strategies,Fetched,,Communications; Training,Public engagement and consultation handbook supporting the 20-year vision process.,Reusable facilitation format for consultations across OC's four campuses.
96,1,SFU,04_SFU/01_Plans-and-Strategies,2016_SFU_SFU-Sustainability-Information-Sheets.pdf,https://hub.aashe.org/media/SFU%20Sustainability%20Info%20Sheets.pdf,~2016,Comms,Plans-and-Strategies,Fetched,,Communications,One-page info sheets summarizing sustainability topics for community engagement.,Format template for one-pagers per impact area. Echoes OC's manager brief one-pager.
97,1,SFU,04_SFU/06_Waste-and-Procurement,2018_SFU_Social-Procurement-Guide-4-institution-BC-collaboration.pdf,https://www.sfu.ca/content/dam/sfu/finance/services/procurement/SocialProcurementGuide_web.pdf,~2018-2022,Guide,Waste-and-Procurement,Fetched,PRIORITY,Supply Chain,Co-developed by four BC post-secondary institutions with the BC Collaborative for Social Innovation and the McConnell Foundation.,A pre-built BC-specific guide OC could adopt by reference rather than draft from scratch.
98,1,SFU,04_SFU/06_Waste-and-Procurement,2025_SFU_Supply-Chains-Act-Report-2025.pdf,https://www.sfu.ca/content/dam/sfu/finance/services/procurement/Supply-Chains-Act-Report-2025-Signed.pdf,2025,Compliance,Waste-and-Procurement,Fetched,PRIORITY,Supply Chain,Federal Fighting Against Forced Labour and Child Labour in Supply Chains Act compliance report.,"Template for OC's own mandatory federal filing. This is a compliance obligation, not optional."
99,1,SFU,04_SFU/04_Transportation,2025_SFU_BC-EV-Charging-Alliance-Roadmap-Phase-1-Report.pdf,https://a.iscdn.net/foresight/2025/04/3641_foresight-canada-electric-vehicle-charging-alliance-roadmap.pdf,2025,Roadmap,Transportation,Fetched,PRIORITY,Transportation; Infrastructure; Carbon Zero,"Foundational roadmap for a 36-institution BC post-secondary coalition (11 universities, 11 colleges, 3 polytechnics) co-founded by SFU and Foresight Canada. Covers barriers, financial models and 3 governance options.","Real cost figures ($12-20K/port), a working carbon-credit revenue model, and payback math. OC can join an existing coalition instead of building an EV strategy alone."
100,1,TRU,05_TRU/01_Plans-and-Strategies,2019_TRU_Campus-Strategic-Sustainability-Plan-2020-2025.pdf,https://www.tru.ca/__shared/assets/campus-strategic-sustainability-plan-2020-202547354.pdf,2019,Plan,Plans-and-Strategies,Fetched,PRIORITY,Policy/Planning; all 13 impact areas,"Four STARS-aligned goals broken into 17 thematic areas and 117+ strategies, tagged ongoing/short/medium/long-term, with numeric 2025 and 2030 targets.","The closest structural precedent anywhere to OC's 4-focus / 13-impact-area framework. Steal the structure, not just reference it."
101,1,TRU,05_TRU/02_Climate-and-GHG-Reporting,2025_TRU_Climate-Change-Accountability-Report-2025.pdf,https://www.tru.ca/__shared/assets/climate-change-accountability-report-202565391.pdf,2025,Statutory report,Climate-and-GHG-Reporting,Fetched,,Carbon Zero; UNSDGs,"4,721 tCO2e total; 51% stationary-source reduction vs baseline; 1,436 tCO2e offset at ~$25/t ($35,900).",GHG accounting category breakdown (stationary/mobile/paper/fugitive) OC's own CNAR must follow.
102,1,TRU,05_TRU/06_Waste-and-Procurement,2022_TRU_TRU-Zero-Waste-Plan-2022-2027.pdf,https://www.tru.ca/__shared/assets/tru-zero-waste-plan-2022-202755989.pdf,2022,Plan,Waste-and-Procurement,Seen in search,,Supply Chain,5-year waste diversion and circular-economy roadmap.,"Model for an OC waste sub-plan under Supply Chain, building on the Mar 2026 trash audit."
103,1,TRU,05_TRU/05_Energy-and-Buildings,2025_TRU_Strategic-Energy-Management-Plan-2025.pdf,https://www.tru.ca/__shared/assets/strategic-energy-management-plan64312.pdf,2025,Plan,Energy-and-Buildings,Seen in search,PRIORITY,Infrastructure (Energy),Energy-reduction roadmap tied to BC Hydro's SEMP program.,Directly reusable format. BC Hydro SEMP is the same program available to OC.
104,1,TRU,05_TRU/10_Campus-Master-Plans,2025_TRU_Campus-Master-Plan-Refresh.pdf,https://www.tru.ca/__shared/assets/2025-campus-master-plan-refresh.pdf,2025,Master plan,Campus-Master-Plans,Seen in search,,Infrastructure; Transportation,"Updates the 2013 plan for active transportation, land acquisitions and allocations.",How to refresh rather than rebuild a master plan mid-cycle. Relevant to OC's Capital Master Plan update.
105,1,TRU,05_TRU/07_Curriculum-and-Research,nd_TRU_List-of-Sustainability-Focused-Courses.pdf,https://www.tru.ca/__shared/assets/List_of_Sustainability_Focused_Courses33174.pdf,Recent,Curriculum inventory,Curriculum-and-Research,Seen in search,,Curriculum,Approved-course list backing a Certificate in Leadership in Environmental Sustainability.,Template for OC's own sustainability-course tagging for STARS academic credits.
106,1,TRU,05_TRU/08_Governance-and-Policy,2023_TRU_TRU-Sustainability-Grant-Fund-Terms-of-Reference-2023-24.pdf,https://www.tru.ca/__shared/assets/TRU_Sustainability_Grant_Fund_Terms_of_Reference_-_2023_-_202458190.pdf,2023,Governance,Governance-and-Policy,Seen in search,PRIORITY,Investment; Training; Applied Research,Governs a faculty/staff/student sustainability micro-grant program of roughly $100K/yr.,A ready-made ToR for an OC internal sustainability grant fund.
107,1,TRU,05_TRU/07_Curriculum-and-Research,2025_TRU_TRU-Sustainability-Research-Grant-for-Faculty-2025-26.pdf,http://www.tru.ca/__shared/assets/Sustainability_Research_Grant_for_Faculty_2025-202664878.pdf,2025,Program,Curriculum-and-Research,Seen in search,,Applied Research,Faculty-facing applied-research micro-grant program.,Direct funding-mechanism model for OC's Applied Research impact area.
108,1,TRU,05_TRU/04_Transportation,nd_TRU_FleetCarma-Electric-Vehicle-Suitability-Assessment.pdf,https://www.tru.ca/__shared/assets/FleetCarma_Electric_Vehicle_Suitability_Assessment41011.pdf,n.d.,Study,Transportation,Seen in search,PRIORITY,Transportation; Carbon Zero,Fleet electrification feasibility analysis.,Same assessment methodology applies to OC's 36-vehicle fleet and the open OP13 boundary question.
109,1,TRU,05_TRU/07_Curriculum-and-Research,2026_TRU_Sustainability-Literacy-Assessment-Report-2026.pdf,https://www.tru.ca/__shared/assets/2026-literacy-assessment-report65173.pdf,2026,Survey,Curriculum-and-Research,Seen in search,PRIORITY,Training; Performance Measurement,Recurring campus-wide sustainability-literacy survey of students and employees.,"A ready-made KPI instrument for OC's Training baseline, which currently reads 'no specific training program developed yet'."
110,1,TRU,05_TRU/08_Governance-and-Policy,2019_TRU_TRU-Investment-Asset-Breakdown.pdf,https://www.tru.ca/__shared/assets/Asset_Breakdown_201949110.pdf,2019,Disclosure,Governance-and-Policy,Seen in search,,Investment,Investment portfolio composition disclosure. No formal ESG/divestment policy was found.,Transparency-reporting template for OC's Investment impact area.
111,1,UFV,06_UFV/08_Governance-and-Policy,nd_UFV_UFV-Sustainability-Policy-Policy-244.pdf,https://www.ufv.ca/media/assets/secretariat/policies/Sustainability-(244).pdf,Current,Policy,Governance-and-Policy,Seen in search,,Policy/Planning,Formal board-level sustainability policy.,Ready governance-policy template for OC's own board-level policy.
112,1,UFV,06_UFV/02_Climate-and-GHG-Reporting,2025_UFV_Climate-Change-Accountability-Report-2025.pdf,https://www.ufv.ca/media/assets/office-of-sustainability/2025-UFV-Climate-Change-Accountability-Report.pdf,2025,Statutory report,Climate-and-GHG-Reporting,Fetched,,Carbon Zero; Infrastructure,"3,037 tCO2e total: natural gas 66%, a temporary emergency generator 20% (Aug 2025 electrical-room fire), fleet 0.5%, paper 0.91%. 2,956 tCO2e retired at $25/t = $77,595.",How to narrate a one-off emissions spike transparently in a CNAR. A useful precedent for OC's own anomaly disclosures.
113,1,UFV,06_UFV/05_Energy-and-Buildings,2025_UFV_Strategic-Energy-Management-Plan-Report-202425.pdf,https://www.ufv.ca/media/assets/office-of-sustainability/SEMP-Report-2024-2025.pdf,2025,Report,Energy-and-Buildings,Seen in search,,Infrastructure (Energy),BC Hydro SEMP program annual report.,Same BC Hydro program as TRU's. A comparator pair for OC's own SEMP filing.
114,1,UFV,06_UFV/04_Transportation,2022_UFV_Transportation-Demand-Management-TDM-Report.pdf,https://www.ufv.ca/media/assets/centre-for-environmental-sustainability/2022_UFV_TDM.pdf,2022,Study,Transportation,Fetched,PRIORITY,Transportation,Multi-campus (Abbotsford and Chilliwack) commuting and TDM analysis.,Directly comparable multi-campus TDM methodology to what OC needs across four campuses.
115,1,UFV,06_UFV/10_Campus-Master-Plans,2016_UFV_Abbotsford-Campus-Master-Plan.pdf,https://www.ufv.ca/media/assets/campus-planning/pdfs/UFV-CMP-20160422_Reduced.pdf,2016,Master plan,Campus-Master-Plans,Seen in search,,Infrastructure,Full Abbotsford campus master plan.,Multi-campus master-plan comparator.
116,1,UFV,06_UFV/10_Campus-Master-Plans,2024_UFV_Chilliwack-Campus-Plan.pdf,https://chilliwack.campuscommunities.ca/wp-content/uploads/2024/07/UFV-CCP-20240614-compressed.pdf,2024,Master plan,Campus-Master-Plans,Seen in search,,Infrastructure,Newer plan for UFV's smaller campus.,"How a satellite campus plan is scoped differently from the flagship. Relevant to Vernon, Salmon Arm and Penticton."
117,1,UFV,06_UFV/01_Plans-and-Strategies,2025_UFV_Institutional-Accountability-Plan-and-Report-202425.pdf,https://www.ufv.ca/media/assets/institutional-research/accountabilityreport/UFV-IAPR-2024-25-2025-07-10.pdf,2025,Accountability report,Plans-and-Strategies,Seen in search,,Performance Measurement,"Government-mandated institutional accountability report, broader than sustainability but including relevant metrics.",How to nest sustainability KPIs inside a mandatory provincial accountability report.
118,1,Selkirk College,07_BC-College-Sector/Selkirk-College/01_Plans-and-Strategies,2023_Selkirk_Selkirk-College-Sustainability-Plan-2023-2027.pdf,https://selkirk.ca/sites/default/files/documents/selkirk-college-sustainability-plan-2023.pdf,2023,Plan,Plans-and-Strategies,Fetched,PRIORITY,Policy/Planning; all 4 focus areas,"Four-pillar plan (Academics/Research, Engagement, Operations, Planning & Admin), near-identical to OC's four focus areas. 60% building GHG cut below 2010 by 2027, net-zero by 2030 pledge, 20% increase in sustainability-defined courses.",The closest structural mirror to OC's own framework in the college sector. Benchmark pillar definitions and KPI style almost 1:1.
119,1,Camosun College,07_BC-College-Sector/Camosun-College/01_Plans-and-Strategies,2018_Camosun_Camosun-Sustainability-Plan-201819-202122.pdf,https://camosun.ca/sites/default/files/2022-07/Camosun-Sustainability-Plan-2018-2022.pdf,2018,Plan,Plans-and-Strategies,Fetched,,Infrastructure; Supply Chain; Transportation,"Four action pillars (Energy & Emissions, Waste & Recycling, Food, Transportation) plus cross-cutting Indigenization, EDI and Wellness. 80% below 2007 by 2050.",The Energy Savings Revolving Fund plus smart-metering rollout is a concrete OPEX mechanism OC could adopt.
120,1,Camosun College,07_BC-College-Sector/Camosun-College/01_Plans-and-Strategies,2025_Camosun_Camosun-Climate-Pathways-V4.pdf,https://camosun.ca/sites/default/files/2025-09/ClimatePathwaysV4.pdf,2025,Plan,Plans-and-Strategies,Seen in search,,Carbon Zero,Later-generation climate pathways document succeeding the 2018 plan.,Pathway/scenario modelling format for OC's own 6-year decarbonization mapping.
121,1,KPU,07_BC-College-Sector/KPU/01_Plans-and-Strategies,2019_KPU_KPU-Sustainability-Framework-KPU2050.pdf,https://www.kpu.ca/sites/default/files/KPU%20Sustainability%20Plan.pdf,2019,Plan,Plans-and-Strategies,Landing page seen,,Policy/Planning; Organizational Structure,Sustainability as one of five institutional strategic goals. An Office of Sustainability plus a cross-departmental Sustainability Hub. SDG Accord and Race to Zero signatory. Silver STARS (2024).,"The Sustainability Hub cross-departmental model is a strong Operational Dependencies template, mirroring OC's Procurement/IT/Facilities coordination need."
122,1,KPU,07_BC-College-Sector/KPU/01_Plans-and-Strategies,2024_KPU_KPU-Sustainability-Report-2023-2024.pdf,https://www.kpu.ca/sites/default/files/Campus%20and%20Community%20Planning/Sustainability%20Report_2023-2024.pdf,2024,Report,Plans-and-Strategies,Landing page only,,Performance Measurement; Communications,Annual public report separate from STARS and CCAR filings.,Template for an annual public report distinct from the regulatory filing.
123,1,UNBC,07_BC-College-Sector/UNBC/01_Plans-and-Strategies,2025_UNBC_UNBC-Sustainability-Strategic-Plan-2025-2035-draft-v5.1.pdf,https://www.unbc.ca/sites/default/files/sections/sustainability/unbcsustainabilityplan2025-2035draftv5_1.pdf,2025,Plan,Plans-and-Strategies,Landing page seen,PRIORITY,Policy/Planning; Performance Measurement,"New 10-year plan, explicitly a living document with annual progress reporting. Sustainability Office relaunched Jan 2024.",The newest full sustainability strategic plan in the BC non-research-university cohort. Worth a deep read given OC is drafting in the same window.
124,1,BC Government / Sector,08_Sector-and-Government/BC-Government/02_Climate-and-GHG-Reporting,2025_BCGov_Okanagan-College-2025-CCAR-OC's-own-filing.pdf,https://www2.gov.bc.ca/assets/gov/environment/climate-change/cnar/2025/ps/okanagan_college_2025_ccar.pdf,2025,Statutory report,Climate-and-GHG-Reporting,Fetched (index),PRIORITY,Carbon Zero,"OC's own most recent Climate Change Accountability Report, publicly filed.",Directly relevant to open question #2 (latest Scope 1 and 2 tonnage and baseline year). Worth reading against the master plan.
125,1,Labour market research,09_Labour-Market-Research/07_Curriculum-and-Research,2026_Research_The-Demand-for-Green-Skills-and-the-Impact-on-Apprentices-Future-Skills-Centre.pdf,https://fsc-ccf.ca/wp-content/uploads/2026/03/FSC_Green-economy-report-EN.pdf,2026,Research,Curriculum-and-Research,Fetched,PRIORITY,Curriculum; Applied Research; Trades for the Transition,"264,000 apprentices must be trained by 2034, a 49% increase, under a green-transition scenario. Refrigeration/AC mechanics and construction electricians account for nearly half of new demand. Core finding: existing trades, not new ones, drive the green economy.",The highest-value labour-market citation for OC's flagship initiative. A defensible national demand figure naming the exact trades to prioritize.
126,1,Labour market research,09_Labour-Market-Research/07_Curriculum-and-Research,2026_Research_Sustainable-Jobs-in-BC-ACET-Pembina-synthesis.pdf,https://www.pembina.org/sites/default/files/2026-04/ACET-Pembina_Sustainable_Jobs_Workshop_Synthesis_report_Final_0.pdf,2026,Research,Curriculum-and-Research,Fetched,PRIORITY,Curriculum; Trades for the Transition,BC skilled-trades vacancies up ~47% over the decade. 6.7% overall vs 15.6% youth unemployment. Identifies a structural imbalance between demand and skilled-worker supply and calls for post-secondary coordination.,The clearest BC-specific justification for Trades for the Transition. Cite alongside the FSC report for a national plus provincial evidence base.
127,2,UBC Vancouver,01_UBC-Vancouver/04_Transportation,2023_UBCV_UBC-Vancouver-Transportation-Status-Report-2023.pdf,https://planning.ubc.ca/sites/default/files/2024-06/UBC2023-TransportationStatusReport-FINAL.pdf,2023,Transportation Status Report,Transportation,Link seen on index page,,,"Transportation Status Report series, 2023.",Part of the Transportation Status Report time series. Multi-year trend data for benchmarking.
128,2,UBC Vancouver,01_UBC-Vancouver/04_Transportation,2022_UBCV_UBC-Vancouver-Transportation-Status-Report-2022.pdf,https://planning.ubc.ca/sites/default/files/2023-06/UBC2022-TransportationStatusReport-FINAL.pdf,2022,Transportation Status Report,Transportation,Link seen on index page,,,"Transportation Status Report series, 2022.",Part of the Transportation Status Report time series. Multi-year trend data for benchmarking.
